lat,long,diameter
17.0,147.0,28.2320377409108
19.0,604.0,10.585134856802455
29.0,682.0,12.047792665040703
35.0,54.0,6.579524642479541
43.0,657.0,12.914889870235298
63.0,705.0,11.562445770562215
68.0,226.0,9.965574970333758
79.0,282.0,9.901487006738307
113.0,358.0,9.706684619910241
133.0,679.0,24.201036973199617
127.0,154.0,10.704744696916627
129.0,454.0,5.170882945826411
151.0,287.0,15.306079714651624
209.0,646.0,14.668929172241665
212.0,125.0,22.05396803500069
208.0,490.0,10.940041919714261
206.0,533.0,7.653039857325812
237.0,98.0,12.100518486599809
238.0,302.0,9.23618154310838
260.0,266.0,8.740387444736633
265.0,694.0,9.507891862878783
284.0,313.0,35.25169209643019
298.0,281.0,22.764193258431348
299.0,707.0,8.136857890256438
392.0,85.0,49.77674310413073
422.0,631.0,6.4820448144285745
439.0,149.0,10.704744696916627
464.0,645.0,8.95623198216277
518.0,40.0,9.373021315815206
545.0,103.0,9.166995688475081
622.0,40.0,13.680870333281758
641.0,567.0,15.222667215103916
700.0,298.0,22.736210219877808
